,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,1,ATL,Tommy Nobis,LB,22,1976,1,5,9,58,58,133,0,0,0,0,0,0,0,0,0,0,0,12,9.5,Texas,College Stats
1,2,RAM,Tom Mack HOF,G,22,1978,0,11,13,91,91,184,0,0,0,0,0,0,0,0,0,0,0,,,Michigan,
1,3,PIT,Dick Leftridge,FB,22,1966,0,0,0,0,0,4,0,0,0,0,0,8,17,2,0,0,0,,,West Virginia,College Stats
1,4,PHI,Randy Beisler,G,21,1975,0,0,3,35,7,118,0,0,0,0,0,0,0,0,0,0,0,1,3,Indiana,College Stats
1,5,DAL,John Niland,G,22,1975,3,6,9,76,73,138,0,0,0,0,0,0,0,0,0,0,0,,,Iowa,
1,6,WAS,Charlie Gogolak,K,21,1972,0,0,0,12,6,55,0,0,0,0,0,0,0,0,0,0,0,,,Princeton,
1,7,MIN,Jerry Shay,DT,22,1971,0,0,3,21,2,63,0,0,0,0,0,0,0,0,0,0,0,,13.5,Purdue,
1,8,STL,Carl McAdams,DT,22,1969,0,0,0,9,,26,0,0,0,0,0,0,0,0,0,0,0,,3,Oklahoma,College Stats
1,9,GNB,Jim Grabowski,RB,21,1971,0,0,5,19,18,75,0,0,0,0,0,475,1731,8,82,675,3,,,Illinois,College Stats
1,10,NYG,Francis Peay,T,22,1974,0,0,5,27,6,103,0,0,0,0,0,0,0,0,0,0,0,,,Missouri,
1,11,SFO,Stan Hindman,DE,22,1974,0,0,3,24,24,76,0,0,0,0,0,0,0,0,0,0,0,1,26,Mississippi,
1,12,CHI,George Rice,DT,22,1969,0,0,2,18,,37,0,0,0,0,0,0,0,0,0,0,0,,10,LSU,
1,13,GNB,Gale Gillingham,G,22,1976,1,5,8,52,52,128,0,0,0,0,0,0,0,0,0,0,0,,,Minnesota,
1,14,CLE,Milt Morin,TE,23,1975,0,2,8,48,48,129,0,0,0,0,0,5,41,0,271,4208,16,,,Massachusetts,
1,15,BAL,Sam Ball,T,22,1970,0,0,3,25,25,61,0,0,0,0,0,0,0,0,0,0,0,,,Kentucky,College Stats
1,16,ATL,Randy Johnson,QB,22,1976,0,0,3,24,13,75,647,1286,8329,51,90,114,573,10,0,0,0,,,Texas A&M-Kingsville,
2,17,ATL,Nick Rassas,DB,22,1968,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,1,,Notre Dame,College Stats
2,18,RAM,Mike Garrett,RB,22,1973,1,2,6,66,,104,2,9,70,1,1,1308,5481,35,238,2010,13,,,USC,College Stats
2,19,PIT,Larry Gagner,G,22,1972,0,0,4,21,21,59,0,0,0,0,0,0,0,0,0,0,0,,,Florida,
2,20,PHI,Gary Pettigrew,DT,21,1974,0,0,6,28,26,111,0,0,0,0,0,0,0,0,0,0,0,,20,Stanford,College Stats
2,21,WAS,Walt Barnes,DT,22,1971,0,0,2,19,13,61,0,0,0,0,0,0,0,0,0,0,0,,5,Nebraska,College Stats
